DATE,COUNTY,TEST_POS,TEST_NEG,DEATHS_TOT
4/3/20,Sevier,13,259,0
4/3/20,Shelby,640,2951,6
4/3/20,Smith,3,97,0
4/3/20,Stewart,0,48,0
4/3/20,Sullivan,18,188,1
4/3/20,Sumner,283,982,8
4/3/20,Tipton,28,204,0
4/3/20,Trousdale,7,35,1
4/3/20,Unicoi,1,30,0
4/3/20,Union,1,30,0
4/3/20,Van Buren,0,21,0
4/3/20,Warren,1,112,0
4/3/20,Washington,20,300,0
4/3/20,Wayne,2,34,0
4/3/20,Weakley,1,72,0
4/3/20,White,2,102,0
4/3/20,Williamson,221,1568,2
4/3/20,Wilson,71,806,0
4/4/20,Anderson,10,203,0
4/4/20,Bedford,8,120,0
4/4/20,Benton,4,47,0
4/4/20,Bledsoe,2,22,0
4/4/20,Blount,34,259,0
4/4/20,Bradley,21,207,0
4/4/20,Campbell,5,78,0
4/4/20,Cannon,4,67,0
4/4/20,Carroll,6,114,0
4/4/20,Carter,3,74,0
4/4/20,Cheatham,12,239,0
4/4/20,Chester,6,58,0
4/4/20,Claiborne,2,53,0
4/4/20,Clay,1,47,0
4/4/20,Cocke,1,62,0
4/4/20,Coffee,4,189,0
4/4/20,Crockett,0,35,0
4/4/20,Cumberland,23,372,0
4/4/20,Davidson,741,5445,6
4/4/20,Decatur,0,47,0
4/4/20,DeKalb,5,92,0
4/4/20,Dickson,22,173,0
4/4/20,Dyer,7,104,0
4/4/20,Fayette,18,172,0
4/4/20,Fentress,1,62,0
4/4/20,Franklin,12,113,1
4/4/20,Gibson,8,178,0
4/4/20,Giles,3,82,0
4/4/20,Grainger,3,45,0
4/4/20,Greene,16,90,1
4/4/20,Grundy,12,43,0
4/4/20,Hamblen,4,107,0
4/4/20,Hamilton,70,804,4
4/4/20,Hancock,0,9,0
4/4/20,Hardeman,6,84,0
4/4/20,Hardin,2,145,0
4/4/20,Hawkins,9,73,1
4/4/20,Haywood,2,47,0
4/4/20,Henderson,0,98,0
4/4/20,Henry,4,94,0
4/4/20,Hickman,1,78,0
4/4/20,Houston,2,84,0
4/4/20,Humphreys,3,56,0
4/4/20,Jackson,3,43,0
4/4/20,Jefferson,6,108,0
4/4/20,Johnson,2,10,0
4/4/20,Knox,99,1070,1
4/4/20,Lake,0,18,0
4/4/20,Lauderdale,2,61,0
4/4/20,Lawrence,3,152,0
4/4/20,Lewis,2,21,0
4/4/20,Lincoln,5,64,0
4/4/20,Loudon,13,144,0
4/4/20,Macon,7,156,0
4/4/20,Madison,19,251,0
4/4/20,Marion,16,62,1
4/4/20,Marshall,4,133,0
4/4/20,Maury,21,467,0
4/4/20,McMinn,3,193,0
4/4/20,McNairy,3,75,0
4/4/20,Meigs,2,48,0
4/4/20,Monroe,6,117,0
4/4/20,Montgomery,46,648,1
4/4/20,Moore,0,16,0
4/4/20,Morgan,4,38,0
4/4/20,Non-Tennessee Resident,218,6151,1
4/4/20,Obion,2,77,1
4/4/20,Overton,2,106,0
4/4/20,Pending,63,6366,0
4/4/20,Perry,3,26,0
4/4/20,Pickett,0,13,0
4/4/20,Polk,3,21,0
4/4/20,Putnam,52,362,0
4/4/20,Rhea,0,110,0
4/4/20,Roane,5,163,0
4/4/20,Robertson,51,389,0
4/4/20,Rutherford,140,1252,3
4/4/20,Scott,3,61,0
4/4/20,Sequatchie,2,30,0
4/4/20,Sevier,13,288,0
